CP,HP,LP,OP,RF,TV,UD,date,turnover
"3,318.71","3,327.99","3,301.95","3,311.30",0.26,"195,857,303,517.00",8.73,20180330,"154,426,980.00"
"3,309.98","3,324.67","3,244.65","3,275.11",1.23,"210,762,583,725.00",40.10,20180329,"170,095,194.00"
"3,269.88","3,314.91","3,264.89","3,278.54",-1.40,"208,517,974,201.00",-46.53,20180328,"163,353,501.00"
"3,316.41","3,322.88","3,292.19","3,314.54",1.05,"226,906,400,267.00",34.49,20180327,"188,807,444.00"
"3,281.92","3,282.50","3,237.68","3,264.78",-0.61,"215,741,724,380.00",-20.03,20180326,"186,098,582.00"
"3,301.95","3,339.08","3,257.81","3,322.84",-3.39,"293,013,059,092.00",-116.03,20180323,"274,901,352.00"
"3,417.98","3,444.55","3,396.26","3,436.68",-0.53,"184,325,598,413.00",-18.38,20180322,"150,219,887.00"
"3,436.36","3,471.19","3,423.67","3,456.04",-0.29,"208,435,185,633.00",-10.13,20180321,"168,104,104.00"
"3,446.49","3,448.56","3,406.41","3,411.42",0.35,"166,797,722,514.00",11.96,20180320,"139,610,811.00"
"3,434.54","3,435.91","3,404.90","3,419.45",0.29,"169,572,502,660.00",9.90,20180319,"137,676,517.00"
"3,424.64","3,456.79","3,424.01","3,445.92",-0.64,"167,531,733,146.00",-22.23,20180316,"140,838,262.00"
"3,446.87","3,453.16","3,428.09","3,432.57",-0.01,"179,354,479,343.00",-0.26,20180315,"148,312,425.00"
"3,447.13","3,461.39","3,442.90","3,454.76",-0.57,"183,272,453,317.00",-19.78,20180314,"157,224,631.00"
"3,466.91","3,491.71","3,463.91","3,481.45",-0.49,"202,195,909,205.00",-17.24,20180313,"176,834,093.00"
"3,484.15","3,491.38","3,470.43","3,476.41",0.59,"247,563,090,889.00",20.34,20180312,"206,017,626.00"
"3,463.81","3,466.50","3,439.09","3,447.35",0.57,"202,179,029,013.00",19.64,20180309,"168,163,966.00"
"3,444.17","3,445.32","3,416.00","3,423.13",0.51,"175,801,629,093.00",17.55,20180308,"149,676,363.00"
"3,426.62","3,465.16","3,419.36","3,444.64",-0.55,"193,364,081,942.00",-18.83,20180307,"168,472,790.00"
"3,445.45","3,446.09","3,397.23","3,421.22",1.00,"224,173,082,260.00",34.27,20180306,"195,061,144.00"
"3,411.18","3,424.21","3,389.93","3,410.01",0.08,"173,951,141,016.00",2.58,20180305,"144,559,187.00"
"3,408.60","3,424.78","3,395.73","3,402.20",-0.59,"178,432,630,694.00",-20.17,20180302,"150,606,019.00"
"3,428.77","3,435.49","3,381.41","3,388.22",0.44,"185,017,254,584.00",15.03,20180301,"158,744,768.00"
"3,413.74","3,433.06","3,393.24","3,418.63",-0.99,"180,021,267,333.00",-34.30,20180228,"150,741,657.00"
"3,448.03","3,486.41","3,440.22","3,486.41",-1.13,"204,168,692,638.00",-39.31,20180227,"173,866,783.00"
"3,487.35","3,494.09","3,437.06","3,464.00",1.23,"213,144,042,222.00",42.52,20180226,"188,279,021.00"
"3,444.83","3,450.21","3,412.82","3,430.58",0.63,"159,337,118,228.00",21.46,20180223,"145,541,438.00"
"3,423.37","3,424.80","3,387.23","3,390.86",2.17,"157,117,542,734.00",72.80,20180222,"138,478,018.00"
"3,350.57","3,355.15","3,321.47","3,339.14",0.45,"114,432,674,371.00",14.88,20180214,"100,139,935.00"
"3,335.69","3,371.62","3,326.43","3,326.43",0.98,"171,860,336,542.00",32.32,20180213,"151,231,501.00"
"3,303.37","3,318.06","3,260.90","3,276.45",0.77,"170,806,482,273.00",25.36,20180212,"153,002,156.00"
"3,278.01","3,330.71","3,207.61","3,323.01",-4.06,"271,681,959,153.00",-138.56,20180209,"255,741,606.00"
"3,416.57","3,463.90","3,378.44","3,436.51",-1.43,"222,104,104,638.00",-49.56,20180208,"200,885,050.00"
"3,466.13","3,588.10","3,460.61","3,574.72",-1.83,"294,961,184,983.00",-64.44,20180207,"260,510,770.00"
"3,530.57","3,603.33","3,523.82","3,580.09",-3.35,"318,383,529,675.00",-122.41,20180206,"279,927,981.00"
"3,652.98","3,653.22","3,567.71","3,573.38",0.74,"251,974,810,310.00",26.71,20180205,"217,352,141.00"
"3,626.27","3,627.41","3,549.52","3,581.37",0.44,"235,924,480,359.00",15.76,20180202,"207,612,152.00"
"3,610.51","3,660.73","3,586.72","3,643.53",-0.97,"292,434,585,734.00",-35.29,20180201,"259,856,187.00"
"3,645.80","3,661.11","3,618.41","3,634.89",-0.20,"242,413,412,467.00",-7.47,20180131,"206,876,436.00"
"3,653.27","3,690.07","3,649.76","3,677.95",-1.00,"224,495,482,021.00",-36.76,20180130,"186,134,526.00"
"3,690.02","3,757.20","3,676.66","3,732.69",-0.99,"285,118,652,829.00",-36.87,20180129,"235,630,412.00"
"3,726.89","3,744.51","3,701.78","3,703.14",0.28,"257,985,767,723.00",10.30,20180126,"222,455,874.00"
"3,716.59","3,740.93","3,695.32","3,723.83",-0.32,"287,672,842,512.00",-11.76,20180125,"243,025,737.00"
"3,728.35","3,738.90","3,694.41","3,722.12",0.36,"307,446,063,638.00",13.55,20180124,"252,685,091.00"
"3,714.80","3,715.55","3,670.44","3,670.44",1.29,"281,847,307,425.00",47.49,20180123,"238,329,075.00"
"3,667.31","3,669.43","3,640.33","3,641.71",0.39,"261,055,842,159.00",14.18,20180122,"217,142,015.00"
"3,653.13","3,664.20","3,638.89","3,646.58",0.38,"294,012,806,962.00",13.76,20180119,"247,301,300.00"
"3,639.37","3,641.25","3,612.11","3,613.28",0.87,"267,531,849,697.00",31.55,20180118,"219,819,186.00"
"3,607.81","3,629.39","3,592.93","3,601.43",0.24,"316,340,532,478.00",8.47,20180117,"260,774,128.00"
"3,599.34","3,600.38","3,563.05","3,564.64",0.77,"266,388,655,924.00",27.33,20180116,"211,231,327.00"
"3,572.01","3,605.55","3,563.44","3,591.28",-0.54,"286,131,050,907.00",-19.26,20180115,"231,722,243.00"
"3,591.27","3,598.07","3,579.77","3,585.96",0.11,"215,782,767,843.00",3.77,20180112,"173,814,803.00"
"3,587.51","3,588.70","3,566.85","3,577.26",0.10,"218,236,322,759.00",3.70,20180111,"173,570,815.00"
"3,583.80","3,592.57","3,559.70","3,575.66",0.23,"254,328,658,709.00",8.38,20180110,"208,833,885.00"
"3,575.42","3,578.90","3,564.56","3,567.22",0.13,"238,112,932,416.00",4.67,20180109,"191,295,303.00"
"3,570.75","3,574.16","3,544.61","3,551.96",0.52,"285,936,921,393.00",18.58,20180108,"235,810,161.00"
"3,552.17","3,563.01","3,540.09","3,546.60",0.18,"248,002,958,444.00",6.38,20180105,"212,804,122.00"
"3,545.80","3,553.31","3,524.43","3,530.40",0.49,"242,921,135,615.00",17.37,20180104,"206,706,059.00"
"3,528.43","3,539.75","3,503.41","3,506.00",0.62,"258,154,040,532.00",21.81,20180103,"213,557,883.00"
"3,506.62","3,507.38","3,470.67","3,470.67",1.25,"227,611,400,439.00",43.14,20180102,"202,029,826.00"
